Judul,Tahun
The Value Strength Aided Information Diffusion in Socially-Aware Mobile Networks,2016
Random Time Delay Effect on Out-of-Sequence Measurements,2016
A Map Reduce-Based Nearest Neighbor Approach for Big-Data-Driven Traffic Flow Prediction,2016
Developing Route Optimization-Based PMIPv6 Testbed for Reliable Packet Transmission,2016
Image Quality Assessment Using Regularity of Color Distribution,2016
A Heuristic Self-Adaptive Medium Access Control for Resource-Constrained WBAN Systems,2016
CityPulse: Large Scale Data Analytics Framework for Smart Cities,2016
Energy big data: A survey,2016
A Fog Based Middleware for Automated Compliance With OECD Privacy Principles in Internet of Healthcare Things,2016
Emerging Physical Unclonable Functions With Nanotechnology,2016
IoT-Based Prognostics and Systems Health Management for Industrial Applications,2016
Distributed Degree-Based Link Scheduling for Collision Avoidance in Wireless Sensor Networks,2016
"Multiple Sclerosis Detection Based on Biorthogonal Wavelet Transform, RBF Kernel Principal Component Analysis, and Logistic Regression",2016
Object Recognition Using Deep Convolutional Features Transformed by a Recursive Network Structure,2016
IEEE Access Special Section Editorial: Advances in Vehicular Clouds,2016
Internet of Things (IoT) in 5G Wireless Communications,2016
IEEE Access Special Section Editorial: Latest Advances and Emerging Applications of Data Hiding,2016
Ieee Access Special Section Editorial: Big Data Analytics for Smart and Connected Health,2016
Ieee Access Special Section Editorial: Special Section on Big Data for Green Communications and Computing,2016
IEEE Access Special Section Editorial: The Plethora of Research in Internet of Things (IoT),2016
Compressive Millimeter-Wave Phased Array Imaging,2016
Dictionary Refinement for Compressive Sensing Based Device-Free Localization via the Variational EM Algorithm,2016
Characterizing Polarization-MIMO Antennas in Random-LOS Propagation Channels,2016
A Similarity Scenario-Based Recommendation Model With Small Disturbances for Unknown Items in Social Networks,2016
Decentralized Cooperative Lane-Changing Decision-Making for Connected Autonomous Vehicles,2016
Robust Beamforming and Power Allocation for Secrecy in DF Relay Networks With Imperfect Channel State Information,2016
Finite Length Analysis of Low-Density Parity-Check Codes on Impulsive Noise Channels,2016
On Convolutional Lattice Codes and Lattice Decoding Using Trellis Structure,2016
Long Term Evolution-Wireless Local Area Network Aggregation Flow Control,2016
Energy-Efficient Transceiver Design for Hybrid Sub-Array Architecture MIMO Systems,2016
Framework of Random Matrix Theory for Power System Data Mining in a Non-Gaussian Environment,2016
A Hybrid Feature Selection With Ensemble Classification for Imbalanced Healthcare Data: A Case Study for Brain Tumor Diagnosis,2016
Fuzzy Differential Equations for Nonlinear System Modeling With Bernstein Neural Networks,2016
Energy Estimation of Partial Discharge Pulse Signals Based on Noise Parameters,2016
Analyzing Healthcare Big Data With Prediction for Future Health Condition,2016
Energy-Efficient WiFi Offloading and Network Management in Heterogeneous Wireless Networks,2016
Identification of Potential Collective Actions Using Enhanced Gray System Theory on Social Media,2016
Secure Pervasive Social Communications Based on Trust in a Distributed Way,2016
"Internet of Robotic Things: Concept, Technologies, and Challenges",2016
"Hybrid Control of a Vision-Guided Robot Arm by EOG, EMG, EEG Biosignals and Head Movement Acquired via a Consumer-Grade Wearable Device",2016
A Data-Driven Service Creation Approach for End-Users,2016
A New Linear Ultrasonic Motor Using Hybrid Longitudinal Vibration Mode,2016
Virtual Network Embedding Based on the Degree and Clustering Coefficient Information,2016
Identifying Relevant Socio-Theoretic Foundations for Supporting Multi-Issue IT Cloudsourcing Negotiations,2016
An Empirical Method in Correcting Specular Highlight Phenomenon in TLS Intensity Data,2016
A Hybrid Discrete Imperialist Competition Algorithm for Fuzzy Job-Shop Scheduling Problems,2016
CPW Fed UWB Antenna by EBGs With Wide Rectangular Notched-Band,2016
Modeling the Throughput of the Linux-Based Agile-SD Transmission Control Protocol,2016
Text-Independent Speaker Identification Using the Histogram Transform Model,2016
Multi-Human Detection Algorithm Based on an Impulse Radio Ultra-Wideband Radar System,2016
Towards an Applicability of Current Network Forensics for Cloud Networks: A SWOT Analysis,2016
Three-Phase Steady-State Model of Doubly Fed Induction Generator Considering Various Rotor Speeds,2016
Distributed Adaptive Formation Control for Linear Swarm Systems With Time-Varying Formation and Switching Topologies,2016
A Secure System For Pervasive Social Network-Based Healthcare,2016
Heuristic Optimization for Reliable Data Congestion Analytics in Crowdsourced eHealth Networks,2016
Exploiting Social Internet of Things Features in Cognitive Radio,2016
Distributed Model Predictive Control for Hybrid Energy Resource System With Large-Scale Decomposition Coordination Approach,2016
SIW Butler Matrix with Modified Hybrid Coupler for Slot Antenna Array,2016
BER Analysis of Physical-Layer Network Coding in the AWGN Channel With Burst Pulses,2016
Trust Management for Vehicular Networks: An Adversary-Oriented Overview,2016
An Attribute Control Chart Based on the Birnbaum-Saunders Distribution Using Repetitive Sampling,2016
Evaluation Framework for User Experience in 5G Systems: On Systematic Rateless-Coded Transmissions,2016
Improving the Robustness of Neural Networks Using K-Support Norm Based Adversarial Training,2016
Comprehensive Performance Analysis of Fully Cooperative Communication in WBANs,2016
Handover Management in 5G and Beyond: A Topology Aware Skipping Approach,2016
Optimization of Reading Data via Classified Block Access Patterns in File Systems,2016
Ceramic Product Forming Technologies Research Based on 3D Printing,2016
Numerical Simulation Study for Frequency Sharing Between Micro-Cellular Systems and Fixed Service Systems in Millimeter-Wave Bands,2016
SMCSS: A Quick and Reliable Cooperative Spectrum Sensing Scheme for Cognitive Industrial Wireless Networks,2016
Two Novel Blind Equalization Algorithms for Rectangular Quadrature Amplitude Modulation Constellations,2016
Auto-Configuration of ACL Policy in Case of Topology Change in Hybrid SDN,2016
Surfel Set Simplification With Optimized Feature Preservation,2016
Virtual Community Detection Through the Association between Prime Nodes in Online Social Networks and Its Application to Ranking Algorithms,2016
4-DMWM Approach for Caching Based Optimal D2D Pairing and Channel Allocation: Centralized and Distributed Algorithm Design,2016
Photodetector Selection Aided Multiuser MIMO Optical OFDM Imaging Visible Light Communication System,2016
When Will You Have a New Mobile Phone? An Empirical Answer From Big Data,2016
Data Delivery Delay Reduction for VANETs on Bi-Directional Roadway,2016
Mathematical Models for Simulating Coded Digital Communication: A Comprehensive Tutorial by Big Data Analytics in Cyber-Physical Systems,2016
DENA: An Intelligent Content Discovery System Used in Named Data Networking,2016
A Planar Dual-Band Coupled-Line Balun With Impedance Transformation and High Isolation,2016
Trade-Off Between Power and Bandwidth Consumption in a Reconfigurable Xhaul Network Architecture,2016
A Cooperative Transmission Strategy for Body-Area Networks in Healthcare Systems,2016
Energy Recovery From Microstrip Passive Circuits,2016
Efficient Scalable Digit-Serial Inverter Over GF( $2^{m}$ ) for Ultra-Low Power Devices,2016
Multipath Estimation Based on Centered Error Entropy Criterion for Non-Gaussian Noise,2016
Geographic Routing in Duty-Cycled Industrial Wireless Sensor Networks With Radio Irregularity,2016
VLSI Implementation of a Cost-Efficient Near-Lossless CFA Image Compressor for Wireless Capsule Endoscopy,2016
