Judul,Tahun
A New Strategy for Combining Nonlinear Kalman Filters With Smooth Variable Structure Filters,2023
RL-Based Cache Replacement: A Modern Interpretation of Belady’s Algorithm With Bypass Mechanism and Access Type Analysis,2023
Learning Cluster Patterns for Abstractive Summarization,2023
A Flexible Two-Tower Model for Item Cold-Start Recommendation,2023
Deep Self-Supervised Diversity Promoting Learning on Hierarchical Hyperspheres for Regularization,2023
When LEO Mega-Constellations Meet New Radio: A Holistic Performance Evaluation Framework,2023
Robust Control Strategy for Dual-Channel Supply Chain With Free Riding Behavior and Cross-Channel Return,2023
Control and Hardware-in-the-Loop Simulation of Community Energy Storage Systems Based on Repurposed Electric Vehicle Batteries,2023
Pose-Aware Disentangled Multiscale Transformer for Pose Guided Person Image Generation,2023
Enhancing Computer-Aided Cervical Cancer Detection Using a Novel Fuzzy Rank-Based Fusion,2023
Unmanned Aerial System Trajectory Tracking Based on Diversified Grey Wolf Optimization Algorithm,2023
On-the-Fly Learning With Mixed-Mode Spiking Neural Network and Passive Memristive Array: Application to Neuromorphic Cameras,2023
Smoke and Flame Identification Method for the Entire Process of Grassland Fire Based on YOLOv5m-D and Static and Dynamic Characteristics,2023
IEEE Access Special Section: Advances on High Performance Wireless Networks for Automation and IIoT,2023
On the Mates of Cross Z-Complementary Pairs for Training Sequence Design in Generalized Spatial Modulation,2023
Computational Drug Repurposing Using Power Graph Analysis of Integrated Drug-Target-Disease Network,2023
Probabilistic Modeling of Image Aesthetic Assessment Toward Measuring Subjectivity,2023
Optimization of Speed Profiles and Time Schedule of the Urban Rail Transit for Energy-Efficient Operation,2023
MSF-NET: Foreground Objects Detection With Fusion of Motion and Semantic Features,2023
Infrared Object Detection Method Based on DBD-YOLOv8,2023
Joint Estimation Algorithm of Target State and Measurement Bias for Doppler Sensor,2023
Machine Learning for Healthcare-IoT Security: A Review and Risk Mitigation,2023
Dual Feature Fusion Tracking With Combined Cross-Correlation and Transformer,2023
Joint Identification for Number of Transmit Antennas and Channel Order,2023
Equivalence of Matrix Pencil and HTLS Ring-Down Electromechanical Mode Identification Algorithms,2023
A New Algebraic Structure of Complex Pythagorean Fuzzy Subfield,2023
A Learning-Based Model Predictive Control Strategy for Home Energy Management Systems,2023
Equivalence of Additive and Multiplicative Coupling in Spiking Neural Networks,2023
Internet of Things and Wireless Sensor Networks for Smart Agriculture Applications: A Survey,2023
Complete Synthesis Analysis for Direct Data Driven Control,2023
Enabling an On-Demand Frequency Doubling Mechanism Through a Capacitively Loaded Miniaturized Diplexer,2023
Energy-Harvesting System and Transfer Matrix Model for Pressure Regulators,2023
A Recommendation System for Electric Vehicles Users Based on Restricted Boltzmann Machine and WaterWheel Plant Algorithms,2023
"Blockchain-Enabled Federated Learning: A Reference Architecture Design, Implementation, and Verification",2023
A Constraint Programming Formulation of the Multi-Mode Resource-Constrained Project Scheduling Problem for the Flexible Job Shop Scheduling Problem,2023
Understanding Climate Change and Air Quality Over the Last Decade: Evidence From News and Weather Data Processing,2023
