article,cluster
Perancangan User Experience Aplikasi Pembagi Tagihan berbasis Mobile di Era New Normal menggunakan Metode Design Thinking,2
Perancangan Pengalaman Pengguna Aplikasi Kursus Online Teknologi Informasi berbasis Mobile menggunakan Metode Human-Centered Design,2
Perancangan User Experience Aplikasi Mobile Mal Pelayanan Publik DKI Jakarta dengan Metode Design Thinking,2
Evaluasi dan Perancangan Pengalaman Pengguna Aplikasi Mobile Kursus Public Speaking (Oberi App) menggunakan Metode Shadowing dan Design Thinking,2
Evaluasi dan Perbaikan Pengalaman Pengguna Aplikasi Temu.in menggunakan Metode User Experience Questionnaire dan Heuristic Evaluation,2
Perancangan Pengalaman Pengguna Aplikasi Rental Printer dengan Metode Design Thinking (Studi Kasus: Print Pojok UNESA Ketintang Surabaya),2
Perancangan User Experience Aplikasi Jasa Foto Produk menggunakan Human Centered Design,2
Perancangan Antarmuka Aplikasi Pembelajaran Sistem Bilangan untuk Mata Pelajaran Sistem Komputer dengan Metode Human Centered Design (Studi Kasus Kelas X SIJA 1 SMK Negeri 6 Malang),2
Perancangan User Experience Aplikasi Donation Based Crowdfunding dengan Metode Design Thinking,2
Perancangan User Experience Website PT. Sinar Barokah Cipta Mahardhika Menggunakan Metode Design Thinking,2
Evaluasi Performa dan Pengalaman Pengguna Situs Web Sebuah Fakultas Ilmu Komputer Menggunakan Google Lighthouse dan User Experience Questionnaire (UEQ),2
Perancangan Pengalaman Pengguna Aplikasi Mobile Perencanaan Liburan Menggunakan Metode Design Thinking,2
Perancangan User Experience Aplikasi Edukasi Perawatan Osteoarthritis menggunakan Metode Design Thinking,2
Analisis Perbandingan Usability dan Pengalaman Pengguna Pada Aplikasi X(Twitter) dan Instagram Threads Menggunakan System Usability Scale (SUS) dan User Experience Questionnaire (UEQ),2
Perancangan Pengalaman Pengguna Curriculum Vitae Generator Menggunakan Human Centered Design: Kasus Di Universitas Brawijaya,2
Perbandingan Pengalaman Pengguna Aplikasi Mobile Digital Wallet Menggunakan Usability Testing,2
Perancangan User Experience Sistem Pemesanan Asrama Pelatihan  Berbasis Responsive Website Pada Balai Diklat Keagamaan Medan  Menggunakan Metode Design Thinking,2
Evaluasi Usability dan Perbaikan User Experience Aplikasi BIMO Mahasiswa Menggunakan Usability Testing dengan Pendekatan Human-Centered Design (HCD),2
Perancangan User Experience Aplikasi Berbasis Mobile Pada Kiara Coffee dengan Metode Design Thinking,2
Evaluasi dan Perbaikan Desain Antarmuka Pengguna Sistem Persetujuan Colocation Application Form (CAF) menggunakan Metode Human Centered Design (Studi Kasus: PT Tower XYZ),2
Perancangan User Experience Aplikasi Tracking Sistem Informasi Balai Pemasyarakatan Bapas Kelas 1 Malang (Simas Bisma) Dengan Menggunakan Metode Design Thinking,2
Perancangan User Experience Aplikasi Mobile Marketplace Layanan Perawatan Tubuh dengan menggunakan pendekatan Design Thinking,2
Perancangan Pengalaman Pengguna Aplikasi Layanan Ambulans Puskesmas Sumberpucung Kabupaten Malang Menggunakan Human-Centered Design,2
Perancangan Pengalaman Pengguna Aplikasi Penagihan Iuran oleh Kader Jaminan Kesehatan Nasional (JKN) dengan Metode Human-Centered Design (Studi Kasus Badan Penyelenggara Jaminan Sosial (BPJS) Kesehatan Kantor Cabang Kota Malang),2
Perancangan User Experience Dashboard dan Modul Pelaporan pada Sistem Informasi Manajemen di Balai Pemasyarakatan (BAPAS) Kelas 1 Malang Menggunakan Pendekatan Human Centered Design,2
Evaluasi dan Perbaikan Antarmuka Pengguna Aplikasi Portal Kajian Risiko Bencana InaRISK Personal menggunakan Metode Human Centered Design,2
Analisis dan Perbaikan Usability Manajemen Bootcamp pada LMS PT XYZ menggunakan Metode Human Centered Design,2
Perancangan Pengalaman Pengguna Aplikasi Penyewaan Alat Foto dan Video berbasis Website menggunakan Pendekatan Human Centered Design (HCD) (Studi Kasus: Aceh Camera),2
Perancangan Aplikasi Pengelola Keuangan Pribadi berbasis Mobile dengan Metode Design Thinking (Studi Kasus: Mahasiswa FILKOM UB),2
Perancangan User Experience Aplikasi Mobile Edukasi Mental Health berbasis Gamifikasi menggunakan Pendekatan Player-Centered Design (Studi Kasus: UKPKLTKSP Fakultas Ilmu Komputer Universitas Brawijaya),2
Perancangan Pengalaman Pengguna Aplikasi Human Resources Menggunakan Metode User-Centered Design,2
Perancangan User Experience pada Aplikasi Mobile Gapura UB sebagai Platform Monitoring Orang Tua terhadap Kegiatan Akademik Mahasiswa Universitas Brawijaya,2
Perancangan UX Modul Orang tua pada Aplikasi Bimbingan Online Mahasiswa FILKOM UB menggunakan Metode Design Thinking,2
Perancangan Desain Interaksi Modul Asesmen dan Modul Pengembangan Karir pada Aplikasi Sarjana Sakti menggunakan Metode Design Thinking dan Heuristic Evaluation,2
Evaluasi Game Experience menggunakan Metode Game Experience Questionnaire (Studi Kasus: Gim Apex Legends Mobile),2
Perancangan User Experience Modul Dashboard Job Placement Center Aplikasi Sarjana Sakti dengan menggunakan Metode Human Centered Design,2
Perancangan Pengalaman Pengguna Aplikasi e-Commerce berbasis Website untuk Pembelian Photobook menggunakan Metode Design Thinking (Studi Kasus: Abstory),2
Perancangan Pengalaman Pengguna Aplikasi Mobile Platform Potensia menggunakan Metode Design Thinking,2
Perancangan User Experience Sistem Informasi Manajemen Kampus Merdeka FILKOM menggunakan Pendekatan Human-Centered Design (HCD),2
Perancangan Desain Antarmuka Pengguna Mobile Learning dengan Model Instruksional Gagne dan Pendekatan Human-Centered Design (Studi Kasus pada Mata Pelajaran Pemrograman Berorientasi Objek di SMK Negeri 6 Malang),2
Evaluasi dan Perbaikan User Experience Aplikasi Geotagging Sungai Brantas menggunakan Metode Human Centered Design dan Heuristic Evaluation,2
Perancangan User Experience pada Aplikasi Mobile Banking BRImo: Lifestyle Supperapp menggunakan Metode Design Thinking,2
Perancangan User Experience Aplikasi Binar Academy pada Aspek Stimulasi menggunakan Design Thinking,2
Perancangan Pengalaman Pengguna pada Aplikasi Pesan Makanan dari Meja menggunakan Metode Design Thinking (Studi Kasus: Mie Gacoan Kota Madiun),2
"Evaluasi User Experience pada Layanan Pesan Antar menggunakan Metode User Experience Questionnaire (UEQ) (Studi Kasus: Gofood, Grabfood, dan Shopeefood)",2
Perancangan User Experience Aplikasi Penunjang Peternak Ayam Telur dengan Metode Human Centered Design (Studi Kasus Peternak Desa Kedawung),2
Perancangan User Experience Aplikasi Keanggotaan Indonesian Heritage Society (IHS) berbasis Aplikasi Mobile dengan Pendekatan Human-Centered Design,2
Perancangan Sistem Aplikasi Pengelolaan Pergudangan berbasis Web dengan Metode Human Centered Design (Studi Kasus: CV Lantikya),2
Perancangan User Interface Portal Lowongan Internship dengan Pendekatan Human Centered Design (HCD) dan User Experience Questionare (UEQ) (Studi Kasus PT Talenta Tumbuh Nusantara),2
Perancangan User Experience Sistem Informasi Penjualan dengan mengggunakan Metode Design Thinking (Studi Kasus: Balcony Store),2
Analisis dan Perbaikan Antarmuka Aplikasi Pasar Online Lamongan menggunakan Metode Human Centered Design,2
Evaluasi dan Perbaikan Desain Antarmuka Pengguna Aplikasi E-Library Kota Blitar menggunakan Metode Human-Centered Design,2
Perancangan User Interface Aplikasi ABUS : Aplikasi Bimbingan Belajar untuk SMP berbasis Web menggunakan Metode Human Centered Design (Studi Kasus : SMPN 5 Malang),2
Perancangan User Experience Aplikasi Pencatatan Persediaan Barang berbasis Mobile menggunakan Metode Human Centered Design (Studi Kasus: PT Zenji Elevator Nusantara),2
Perancangan User Experience Aplikasi Posyandu Remaja menggunakan Metode User-Centered Design (Studi Kasus: Puskesmas Jogoloyo Kabupaten Jombang),2
Evaluasi Pengalaman Pengguna pada Aplikasi PermataMobileX dengan Metode Enhanced Cognitive Walkthrough,2
"Perancangan Antarmuka Pengguna Sistem Informasi Keuangan dengan Metode Human Centered Design (HCD) (Studi Kasus: Masjid Ibnu Sina Jl. Veteran, Malang)",2
Perancangan User Interface Website ONENO menggunakan Metode Human Centered Design,2
Perancangan User Experience Aplikasi Pengaduan Kehilangan dan Temuan Barang Hilang menggunakan Metode Human-Centered Design,2
Perancangan Pengalaman Pengguna Aplikasi Mobile Penyaluran Sampah Masker Medis menggunakan Metode Design Thinking (Studi Kasus: Dumask Indonesia),2
Perancangan Pengalaman Pengguna pada Aplikasi Perangkat Bergerak Peminjaman Peralatan Penunjang Pariwisata menggunakan Metode Design Thinking (Studi Kasus: Rentrips.id),2
Perancangan User Experience Aplikasi Monitoring Tunggakan Tagihan Listrik Pascabayar PT. PLN (Persero) berbasis Android,2
Evaluasi dan Perbaikan Desain Tata Layout serta Navigasi pada Website Kejaksaan Tinggi Jawa Timur menggunakan Metode Human-Centered Design,2
"Perancangan User Experience Aplikasi E-Commerce Bibit Tanaman berbasis Mobile menggunakan Design Thinking (Studi Kasus : Desa Sananrejo, Kecamatan Turen, Kabupaten Malang)",2
Evaluasi dan Perbaikan Pengalaman Pengguna pada Aplikasi Octo Mobile menggunakan User Experience Questionnaire (UEQ) dengan Pendekatan User Centered Design (UCD),2
Analisis Perbandingan Pengalaman Pengguna pada Aplikasi Halodoc dan Alodokter menggunakan User Experience Questionnaire (UEQ),2
"Perancangan Implementasi Tampilan Baru Web ""Sambat"" Kota Malang menggunakan Metode Design Thinking",2
Perancangan User Experience Aplikasi Manajemen Usaha Sadap Pinus pada KTH Enggal Mulya Lestari Ngrayun Ponorogo,2
Perancangan User Experience Aplikasi Pengelolaan Pelatihan Program Pekerti dan Applied Approach dengan Metode Human-Centered Design (Studi Kasus: Universitas Brawijaya),2
Evaluasi User Experience dengan mengadaptasi Mecue Questionnaire pada Aplikasi Reseller (Studi Kasus pada Aplikasi Evermos),2
